species_id,name_pt,name_en,latin,icon,pills_pt,pills_en,facts_pt,facts_en,month,phase,task_pt,task_en
freesia,Frésia,Freesia,Freesia spp.,🌸,"Bolbo,Sol pleno,Solo bem drenado,Perfumada,Flor de corte","Bulb,Full sun,Well-drained,Fragrant,Cut flower","Plante os bolbos no outono (Set–Nov), 5 cm de profundidade. Floresce em Mar–Abr.","Plant corms in autumn (Sep–Nov), 5 cm deep. Blooms Mar–Apr.",1,grow,Os rebentos podem estar a emergir — não perturbe,Shoots may be emerging — do not disturb
freesia,,,,,,,,,1,grow,As chuvas de janeiro são normalmente suficientes; evite encharcamento,January rains usually sufficient; avoid waterlogging
freesia,,,,,,,,,1,grow,Verifique a drenagem após chuvas intensas,Check drainage around beds after heavy rainfall
freesia,,,,,,,,,2,grow,Observe os rebentos a emergir do solo,Watch for shoots pushing through soil
freesia,,,,,,,,,2,grow,Regue levemente apenas em períodos secos,Water lightly only if dry spells occur
freesia,,,,,,,,,3,grow,Botões em formação — aumente a rega gradualmente,Buds forming — increase watering gradually
freesia,,,,,,,,,3,grow,Aplique fertilizante líquido equilibrado (10-10-10),Apply balanced liquid fertiliser (10-10-10)
freesia,,,,,,,,,4,bloom,Plena floração — remova flores murchas diariamente,Peak bloom — deadhead spent flowers daily
freesia,,,,,,,,,4,bloom,Corte as hastes de manhã cedo para melhor durabilidade,Cut stems in the early morning for best vase life
freesia,,,,,,,,,5,bloom,Continue a remover flores murchas,Continue deadheading as flowers fade
freesia,,,,,,,,,5,bloom,Aplique fertilizante rico em potássio para fortalecer os bolbos,Apply potassium-rich feed to strengthen corms
freesia,,,,,,,,,6,tend,Deixe a folhagem amarelecer e secar — não corte,Allow foliage to yellow and die back — do not cut
freesia,,,,,,,,,6,tend,Pare de regar; deixe o solo secar completamente,Stop watering; let soil dry fully
freesia,,,,,,,,,7,lift,Arranque os bolbos depois de a folhagem estar completamente seca,Lift corms once foliage is completely dried
freesia,,,,,,,,,7,lift,Seque num local sombreado e ventilado durante 1–2 semanas,Dry in a shaded ventilated spot for 1–2 weeks
freesia,,,,,,,,,8,rest,Guarde os bolbos em sacos de rede — fresco escuro seco (15–18 °C),Store corms in net bags — cool dark dry (15–18 °C)
freesia,,,,,,,,,8,rest,Verifique mensalmente; remova imediatamente os que apodreçam,Check monthly; remove any rotting corms promptly
freesia,,,,,,,,,9,rest,Continue a armazenar; prepare canteiros com composto e areia grossa,Continue storing; prepare beds with compost and grit
freesia,,,,,,,,,10,plant,Plante os bolbos a 5 cm de profundidade ponta virada para cima,Plant corms 5 cm deep pointed end up
freesia,,,,,,,,,10,plant,Espaçe 8–10 cm num solo bem drenado,Space 8–10 cm apart in well-drained soil
freesia,,,,,,,,,11,plant,Continue a plantar — outubro é ideal no litoral,Continue planting — October is ideal in the litoral
freesia,,,,,,,,,12,plant,Plantação tardia ainda possível no clima ameno do litoral,Late planting still possible in the mild litoral climate
